RA;Primeiro Nome;Sobrenome;Idade;Curso;Genero;Periodo
58427716925;Bryan;Teixeira;28;TADS;Masculino;Matutino
82852392557;Caio;Moraes;44;TADS;Intersexo;Matutino
78324728693;Carl;MORALES;33;Sistema da Informação;Masculino;Matutino
88082561631;Carol;GRIFFIN;52;Ciência da Computação;Feminino;Matutino
82882234104;Carolina;Santos;26;Sistema da Informação;Feminino;Matutino
58806617325;Carolyn;HENRY;49;Engenharia da Computação;Feminino;Matutino
78853954754;Catarina;Gomes;57;Engenharia da Computação;Feminino;Matutino
90612351728;Catherine;WASHINGTON;64;Banco de dados;Feminino;Matutino
61919608954;Cauã;Ribeiro;63;TADS;Masculino;Matutino
75846263960;Cecília;da Luz;36;Ciência da Computação;Feminino;Matutino
73794741310;Charles;MARTINEZ;32;Ciência da Computação;Masculino;Matutino
69608990923;Cheryl;MASON;30;Engenharia da Computação;Feminino;Matutino
77449838968;Christian;PETERSON;34;Engenharia da Computação;Masculino;Matutino
60372750744;Christina;SIMPSON;19;Engeharia de Software;Feminino;Matutino
99073972248;Christine;MCDONALD;49;Banco de dados;Feminino;Matutino
64281482473;Christopher;HERNANDEZ;53;Ciência da Computação;Masculino;Matutino
72283032018;Clara;da Paz;58;Ciência da Computação;Feminino;Matutino
98610176591;Cynthia;GIBSON;18;Engeharia de Software;Feminino;Matutino
82514349615;Daniel;LOPEZ;34;Ciência da Computação;Intersexo;Matutino
61001960241;Daniel;Gomes;46;Sistema da Informação;Masculino;Matutino
58054694485;Danielle;STEPHENS;20;Ciência da Computação;Feminino;Matutino
94936869901;Davi;Dias;21;Ciência da Computação;Masculino;Matutino
72054138041;Davi Lucas;da Rocha;25;Ciência da Computação;Masculino;Matutino
75310776795;Davi Luiz;da Luz;65;Ciência da Computação;Masculino;Matutino
97240471150;David;GARCIA;58;Jogos digitais;Masculino;Matutino
74294082143;Deborah;WEST;39;Ciência da Computação;Feminino;Matutino
68618995444;Debra;KENNEDY;40;Banco de dados;Feminino;Matutino
95468149924;Denise;DANIELS;22;Engenharia da Computação;Feminino;Matutino
67880375501;Dennis;CARTER;35;Engeharia de Software;Masculino;Matutino
67771470327;Diana;GARDNER;41;Ciência da Computação;Feminino;Matutino
59814649756;Diane;TUCKER;40;Engeharia de Software;Feminino;Matutino
70143824644;Donald;ANDERSON;35;Ciência da Computação;Masculino;Matutino
96078264778;Donna;HAMILTON;26;Ciência da Computação;Feminino;Matutino
93436555629;Doris;ROSE;49;Engenharia da Computação;Feminino;Matutino
80253593355;Dorothy;ROMERO;56;TADS;Feminino;Matutino
75646529999;Douglas;DIAZ;43;Engeharia de Software;Masculino;Matutino
85152587295;Dylan;WOOD;20;Banco de dados;Masculino;Matutino
57719656378;Eduardo;Peixoto;54;TADS;Masculino;Matutino
58437716952;Edward;HARRIS;51;Jogos digitais;Masculino;Matutino
61835193405;Elizabeth;SULLIVAN;23;Engeharia de Software;Feminino;Matutino
64727719347;Emanuel;da Rosa;46;Ciência da Computação;Masculino;Matutino
95730698265;Emanuelly;das Neves;57;Ciência da Computação;Feminino;Matutino
74226841493;Emily;GRAHAM;51;Ciência da Computação;Feminino;Matutino
78891245316;Emma;WOODS;54;Banco de dados;Intersexo;Matutino
86685864800;Enzo;Pereira;52;Ciência da Computação;Masculino;Matutino
72184788680;Enzo Gabriel;da Cunha;24;Ciência da Computação;Masculino;Matutino
62678402433;Eric;KING;49;Engeharia de Software;Masculino;Matutino
95028498771;Esther;da Conceição;37;Ciência da Computação;Feminino;Matutino
77590052981;Ethan;ORTIZ;39;Engenharia da Computação;Masculino;Matutino
84097442344;Eugene;PRICE;22;Banco de dados;Masculino;Matutino
87534302801;Evelyn;HUNTER;54;Banco de dados;Feminino;Matutino
60915633675;Felipe;Araújo;33;Sistema da Informação;Masculino;Vespertino
77551235570;Fernanda;Carvalho;30;TADS;Feminino;Vespertino
91291552109;Frances;SHAW;35;Banco de dados;Feminino;Vespertino
91607324230;Francisco;da Cruz;20;Ciência da Computação;Masculino;Vespertino
85579223715;Frank;GREEN;33;Ciência da Computação;Masculino;Vespertino
89003896358;Gabriel;GRAY;45;Banco de dados;Masculino;Vespertino
55896866724;Gabriel;Cardoso;64;Ciência da Computação;Masculino;Vespertino
87396313125;Gabriela;Vieira;19;Sistema da Informação;Feminino;Vespertino
57585823373;Gabrielly;Gusmão;39;Sistema da Informação;Feminino;Vespertino
66289571273;Gary;YOUNG;57;Engeharia de Software;Masculino;Vespertino
98990966649;George;PEREZ;33;Jogos digitais;Masculino;Vespertino
65021803315;Gerald;GUTIERREZ;31;Engenharia da Computação;Masculino;Vespertino
87802422775;Giovanna;Carvalho;60;Ciência da Computação;Feminino;Vespertino
81151693087;Gloria;ROBERTSON;51;Engenharia da Computação;Feminino;Vespertino
90937476478;Grace;MEYER;18;Banco de dados;Feminino;Vespertino
92546748274;Gregory;NELSON;58;Ciência da Computação;Masculino;Vespertino
81850742708;Guilherme;Rodrigues;52;Sistema da Informação;Masculino;Vespertino
95980765400;Gustavo;Lima;43;Sistema da Informação;Masculino;Vespertino
78549251895;Hannah;HUNT;65;Engenharia da Computação;Feminino;Vespertino
77945547478;Harold;MORRIS;25;Sistema da Informação;Masculino;Vespertino
83011733706;Heather;WEBB;39;Engeharia de Software;Feminino;Vespertino
83006306304;Heitor;Oliveira;64;Ciência da Computação;Masculino;Vespertino
55680472790;Helen;TRAN;38;Engeharia de Software;Feminino;Vespertino
75011208424;Helena;Cardoso.;52;Ciência da Computação;Intersexo;Vespertino
62953896046;Heloísa;Pereira;22;Sistema da Informação;Feminino;Vespertino
80628296520;Henrique;Ribeiro;26;TADS;Masculino;Vespertino
83926907902;Henry;TURNER;55;Engeharia de Software;Masculino;Vespertino
76709212705;Ian;da Paz;42;Ciência da Computação;Masculino;Vespertino
64092642989;Isaac;Duarte;61;TADS;Masculino;Vespertino
56957808904;Isabella;Martins;28;TADS;Feminino;Vespertino
88649434046;Isabelly;da Costa;34;Jogos digitais;Feminino;Vespertino
79531250584;Isadora;Ferreira;21;Sistema da Informação;Feminino;Vespertino
57525680626;Jack;MITCHELL;18;Engeharia de Software;Masculino;Vespertino
91889704239;Jacob;WALKER;32;Engeharia de Software;Masculino;Vespertino
56935443946;Jacqueline;HICKS;24;Engenharia da Computação;Feminino;Vespertino
66167313279;James;SMITH;54;Sistema da Informação;Masculino;Vespertino
81361526204;Jane;Hawkins;30;Engenharia da Computação;Intersexo;Vespertino
87708947203;Janet;CHEN;31;Engenharia da Computação;Feminino;Vespertino
63907571633;Janice;SALAZAR;49;Engenharia da Computação;Feminino;Vespertino
81885346751;Jason;RAMIREZ;34;Engeharia de Software;Masculino;Vespertino
93306105792;Jean;PALMER;40;Engenharia da Computação;Feminino;Vespertino
97284346100;Jeffrey;LEWIS;65;Engeharia de Software;Masculino;Vespertino
57249264851;Jennifer;PERRY;22;Engeharia de Software;Feminino;Vespertino
79983949999;Jeremy;MURPHY;42;Sistema da Informação;Masculino;Vespertino
99277040765;Jerry;ROBERTS;38;Engeharia de Software;Masculino;Vespertino
94356056686;Jesse;KIM;34;Engeharia de Software;Masculino;Vespertino
64497873431;Jessica;BUTLER;25;Engeharia de Software;Feminino;Vespertino
78416394568;Joan;PORTER;30;Engeharia de Software;Feminino;Vespertino
71966580485;João;Ferreira;28;TADS;Masculino;Vespertino
92814941309;João Gabriel;da Mota;40;Ciência da Computação;Masculino;Vespertino
55616855724;João Miguel;Moreira;63;TADS;Intersexo;Integral
90016805947;João Pedro;Carvalho;32;Sistema da Informação;Intersexo;Integral
81946383101;João Vitor;Vieira;49;Ciência da Computação;Masculino;Integral
99668234269;Joaquim;Caldeira;39;TADS;Masculino;Integral
78541742773;Joe;HOWARD;58;Engeharia de Software;Masculino;Integral
76005698603;John;JOHNSON;33;Sistema da Informação;Masculino;Integral
67592796415;Johnny;FOSTER;54;Banco de dados;Masculino;Integral
87358837817;Jonathan;SCOTT;32;Engeharia de Software;Masculino;Integral
69261074960;Jordan;CHAVEZ;57;Banco de dados;Masculino;Integral
88717881455;Jose;EVANS;39;Engeharia de Software;Masculino;Integral
56682750405;Joseph;DAVIS;34;Jogos digitais;Masculino;Integral
94661035036;Joshua;LEE;47;Jogos digitais;Masculino;Integral
80007068125;Joyce;BURNS;40;Engeharia de Software;Feminino;Integral
93337030792;Juan;RUIZ;54;Banco de dados;Masculino;Integral
98015855059;Judith;MENDEZ;44;Banco de dados;Feminino;Integral
99554681418;Judy;RICE;17;Banco de dados;Feminino;Integral
58824953664;Julia;FOX;59;Banco de dados;Feminino;Integral
88420471730;Julia;Rodrigues;59;TADS;Feminino;Integral
89753204608;Julie;GUZMAN;61;Engeharia de Software;Feminino;Integral
90202411846;Justin;NGUYEN;19;Ciência da Computação;Masculino;Integral
81270830371;Karen;BARNES;53;Banco de dados;Feminino;Integral
66377269361;Katherine;HARRISON;45;Banco de dados;Feminino;Integral
58149644619;Kathleen;ELLIS;30;Engeharia de Software;Feminino;Integral
66591401813;Kathryn;BLACK;20;Engenharia da Computação;Feminino;Integral
65765753264;Kayla;SPENCER;43;Engenharia da Computação;Feminino;Integral
82526148869;Keith;COOK;45;Sistema da Informação;Masculino;Integral
90309914050;Kelly;OLSON;24;Engeharia de Software;Feminino;Integral
83975379628;Kenneth;MARTIN;55;Jogos digitais;Masculino;Integral
66661633537;Kevin;THOMPSON;41;Jogos digitais;Masculino;Integral
61583920765;Kimberly;ALEXANDER;25;Ciência da Computação;Feminino;Integral
62123716594;Kyle;STEWART;45;Sistema da Informação;Masculino;Integral
84576082462;Lara;Aragão;63;Ciência da Computação;Feminino;Integral
76397496949;Larissa;Mendes;41;Engenharia da Computação;Feminino;Integral
57500064385;Larry;TORRES;41;Ciência da Computação;Masculino;Integral
70054158612;Laura;BRYANT;43;Engeharia de Software;Feminino;Integral
97864881365;Laura;Gomes;57;TADS;Feminino;Integral
84701642018;Lauren;GORDON;39;Banco de dados;Feminino;Integral
66520770222;Lavínia;Rodrigues;28;Ciência da Computação;Feminino;Integral
93867800997;Lawrence;REED;32;Engeharia de Software;Masculino;Integral
97553346924;Leonardo;Rocha;42;Engenharia da Computação;Masculino;Integral
81005826445;Letícia;da Cunha;49;Jogos digitais;Feminino;Integral
99058766380;Linda;RUSSELL;59;Engeharia de Software;Feminino;Integral
75679584507;Lisa;VASQUEZ;19;Banco de dados;Feminino;Integral
65910449155;Lívia;Silveira;62;Sistema da Informação;Intersexo;Integral
57129783197;Logan;ALVAREZ;21;Banco de dados;Masculino;Integral
75212790666;Lorena;Caldeira;59;Sistema da Informação;Feminino;Integral
92971053189;Lorenzo;Nascimento;30;Sistema da Informação;Masculino;Integral
61231871495;Lori;KELLEY;43;Ciência da Computação;Feminino;Integral
57150917852;Louis;SANDERS;52;Banco de dados;Masculino;Noturno
98697853336;Lucas;Souza;54;Ciência da Computação;Intersexo;Noturno
58912360748;Lucca;Silveira;30;TADS;Masculino;Noturno
95789459920;Luiza;Mendes;65;Ciência da Computação;Feminino;Noturno
67495034437;Madison;MILLS;48;Banco de dados;Feminino;Noturno
94181295850;Manuela;Lopes;38;TADS;Feminino;Noturno
71774966528;Margaret;FISHER;60;Banco de dados;Feminino;Noturno
92514746471;Maria;FREEMAN;34;Engeharia de Software;Feminino;Noturno
64023556397;Maria Clara;Moreira;57;Sistema da Informação;Feminino;Noturno
93220030662;Maria Eduarda;Melo;22;Ciência da Computação;Feminino;Noturno
64834744744;Maria Fernanda;Nunes;26;TADS;Intersexo;Noturno
97266315766;Maria Luiza;Jesus;33;Ciência da Computação;Feminino;Noturno
61818444647;Mariana;Viana;21;Ciência da Computação;Feminino;Noturno
91593744313;Marie;WARREN;20;Banco de dados;Feminino;Noturno
86983369387;Marilyn;FERGUSON;51;Ciência da Computação;Feminino;Noturno
62425838632;Marina;da Mota;23;Ciência da Computação;Feminino;Noturno
90887685686;Mark;THOMAS;60;Ciência da Computação;Masculino;Noturno
80818216300;Martha;SNYDER;33;Banco de dados;Feminino;Noturno
70913174333;Mary;POWELL;33;Engeharia de Software;Feminino;Noturno
73171353709;Matheus;Costa;62;Ciência da Computação;Masculino;Noturno
99478075629;Matthew;GONZALEZ;35;Ciência da Computação;Masculino;Noturno
82950348580;Megan;DIXON;19;Engenharia da Computação;Feminino;Noturno
75811422535;Melissa;da Rosa;49;Ciência da Computação;Feminino;Noturno
59992394107;Melissa;MORENO;32;Ciência da Computação;Feminino;Noturno
61123299597;Michael;BROWN;65;Jogos digitais;Masculino;Noturno
85829880750;Michelle;REYNOLDS;60;Ciência da Computação;Feminino;Noturno
71981991451;Miguel;Cavalcanti;32;Ciência da Computação;Masculino;Noturno
75371578775;Murilo;Sales;43;TADS;Masculino;Noturno
66825609138;Nancy;GONZALES;31;Banco de dados;Feminino;Noturno
60302141496;Natalie;PAYNE;58;Ciência da Computação;Feminino;Noturno
74696150320;Nathan;EDWARDS;58;Sistema da Informação;Masculino;Noturno
60533949567;Nicholas;ALLEN;21;Engeharia de Software;Masculino;Noturno
63528419604;Nicolas;Almeida;65;Sistema da Informação;Masculino;Noturno
68716425599;Nicole;MARSHALL;56;Banco de dados;Feminino;Noturno
93795650965;Nicole;Farias;45;Ciência da Computação;Feminino;Noturno
88726960254;Noah;RAMOS;24;Engeharia de Software;Masculino;Noturno
89549710801;Olivia;SILVA;45;Banco de dados;Feminino;Noturno
73056953742;Otávio;das Neves;24;TADS;Masculino;Noturno
82562254871;Pamela;CASTRO;39;Banco de dados;Intersexo;Noturno
72175054968;Patricia;JENKINS;64;Engeharia de Software;Feminino;Noturno
73232572919;Patrick;RIVERA;49;Ciência da Computação;Masculino;Noturno
70459266656;Paul;TAYLOR;31;Ciência da Computação;Masculino;Noturno
72340937537;Pedro;Campos;65;Ciência da Computação;Masculino;Noturno
98177664836;Pedro Henrique;Fogaça;36;TADS;Masculino;Noturno
68885567947;Peter;CRUZ;19;TADS;Masculino;Noturno
82536911321;Philip;LONG;33;Banco de dados;Masculino;Noturno
77472036374;Pietro;Porto;48;TADS;Masculino;Noturno
88725538553;Rachel;VARGAS;19;Banco de dados;Feminino;Noturno
90403549025;Rafael;Santos;30;Ciência da Computação;Masculino;Noturno
80925212572;Rafaela;Ramos;27;Ciência da Computação;Feminino;Noturno
89377636199;Ralph;BENNETT;30;Banco de dados;Masculino;Noturno
86525690894;Randy;CASTILLO;39;Banco de dados;Intersexo;Noturno
97364081212;Raymond;HALL;62;Ciência da Computação;Masculino;Noturno
89804698120;Rebeca;Fernandes;60;Ciência da Computação;Feminino;Noturno
86941202761;Rebecca;HAYES;26;Ciência da Computação;Feminino;Noturno
68954599741;Richard;MILLER;51;Jogos digitais;Masculino;Noturno
75366354164;Robert;WILLIAMS;27;Sistema da Informação;Intersexo;Noturno
69608866653;Rodrigo;da Conceição;60;TADS;Masculino;Noturno
64928767418;Roger;ROGERS;47;TADS;Masculino;Noturno
88501881981;Ronald;SANCHEZ;26;Jogos digitais;Masculino;Noturno
70982644387;Rose;RYAN;32;Ciência da Computação;Feminino;Noturno
68610098906;Roy;MENDOZA;59;Banco de dados;Masculino;Noturno
80014803890;Russell;PATEL;30;Banco de dados;Masculino;Noturno
67380702151;Ruth;OWENS;45;Banco de dados;Feminino;Noturno
79819361962;Ryan;ROBINSON;28;Engeharia de Software;Masculino;Noturno
90396632443;Samantha;FERNANDEZ;62;Banco de dados;Feminino;Noturno
79667586565;Samuel;BAKER;27;Ciência da Computação;Masculino;Noturno
74962199967;Samuel;Fernandes;52;Sistema da Informação;Masculino;Noturno
96481026526;Sandra;JORDAN;56;TADS;Feminino;Noturno
73333039512;Sara;STONE;43;Engenharia da Computação;Intersexo;Noturno
96377476121;Sarah;HENDERSON;28;Banco de dados;Feminino;Noturno
57039255807;Sarah;da Rocha;21;Jogos digitais;Feminino;Noturno
63093566834;Scott;HILL;33;Ciência da Computação;Masculino;Noturno
88482887885;Sean;BAILEY;24;Engenharia da Computação;Masculino;Noturno
97950320482;Sharon;HERRERA;30;Engeharia de Software;Feminino;Noturno
56843204394;Shirley;AGUILAR;23;Engeharia de Software;Feminino;Noturno
99532054279;Sofia;Fernandes;20;TADS;Feminino;Noturno
57029100687;Sophia;GRANT;50;Ciência da Computação;Feminino;Noturno
82487546449;Stephanie;COLE;54;Ciência da Computação;Feminino;Noturno
74652879976;Stephen;WRIGHT;32;Engeharia de Software;Masculino;Noturno
84788367355;Steven;MOORE;29;Jogos digitais;Masculino;Noturno
76288685079;Susan;COLEMAN;56;Engeharia de Software;Feminino;Noturno
69937104197;Teresa;BOYD;29;Engenharia da Computação;Feminino;Noturno
78051129659;Terry;COOPER;36;Engenharia da Computação;Masculino;Noturno
76858653145;Theo;Rezende;35;TADS;Masculino;Noturno
63119744731;Theresa;SCHMIDT;34;Banco de dados;Feminino;Noturno
72100652952;Thiago;Nogueira;30;Ciência da Computação;Masculino;Noturno
76533280860;Thomas;RODRIGUEZ;25;Ciência da Computação;Masculino;Noturno
57880527806;Timothy;CLARK;24;Jogos digitais;Masculino;Noturno
65092064021;Tyler;GOMEZ;21;Engeharia de Software;Masculino;Noturno
63893561511;Valentina;Nunes;41;Ciência da Computação;Feminino;Noturno
84291839162;Victoria;CRAWFORD;24;Engeharia de Software;Feminino;Noturno
80113300098;Vincent;MYERS;40;Banco de dados;Masculino;Noturno
59463043646;Vinicius;Ramos;52;TADS;Masculino;Noturno
75332205879;Virginia;WELLS;40;Banco de dados;Feminino;Noturno
80967326985;Vitor;Martins;63;Engenharia da Computação;Masculino;Noturno
64145893892;Vitória;Martins;51;Ciência da Computação;Feminino;Noturno
58534624387;Walter;REYES;36;Sistema da Informação;Masculino;Noturno
80355209504;Wayne;HUGHES;59;Banco de dados;Masculino;Noturno
64876344668;William;JONES;26;Jogos digitais;Masculino;Noturno
77611509140;Willie;BROOKS;26;Banco de dados;Masculino;Noturno
61821096538;Yasmin;Nogueira;50;Sistema da Informação;Feminino;Noturno
92179223683;Zachary;COLLINS;61;Sistema da Informação;Masculino;Noturno
